Key,Type,Desc,English,Korean,Japanese,German,Spanish,Portuguese (Brazil),Vietnamese,Russian,Indonesian,Thai,French,$Arabic,Hindi,Turkish
Booster Offer,Text,,Booster Offer,부스터,ブースター,Booster,Potenciador,Booster,Gói Booster,Предложение бустера,Penawaran Booster,ข้อเสนอบูสเตอร์,Offre de booster,عرض المعزز,बूस्टर ऑफ़र,Güçlendirici Teklifi
Booster Unlocked!,Text,,Booster Unlocked!,부스터 잠금 해제!,ブースターをアンロック！,Booster freigeschaltet!,¡Impulsor desbloqueado!,Impulsor desbloqueado!,Đã mở khóa Booster,Бустер разблокирован!,Booster terbuka!,ปลดล็อกบูสเตอร์แล้ว!,Booster déverrouillé !,تم فتح المعزز!,बूस्टर अनलॉक हुआ!,Güçlendirici Açıldı!
Break frozen objects,Text,,Break frozen objects!,얼어붙은 물체를 깨세요!,凍ったオブジェクトを壊そう！,Gefrorene Objekte zerbrechen!,Rompe los objetos congelados,Quebre os objetos congelados,Phá vỡ các vật thể bị đóng băng,Разбейте замороженные объекты!,Hancurkan objek beku!,ทำลายวัตถุที่ถูกแช่แข็ง!,Brisez les objets gelés !,حطّم الأجسام المجمدة!,जमे हुए ऑब्जेक्ट तोड़ें!,Donmuş nesneleri kır!
Broken Tray,Text,,Broken Tray,깨진 트레이,壊れたトレイ,Kaputtes Tablett,Bandeja rota,Bandeja quebrada,Khay bị vỡ,Сломанный поднос,Nampan rusak,ถาดแตก,Plateau cassé,صينية مكسورة,टूटी हुई ट्रे,Kırık Tepsi
Bronze Team Offer,Text,,Bronze Team Offer,브론즈 팀 오퍼,ブロンズチームオファー,Bronze-Team-Angebot,Oferta de equipo de bronce,Oferta da Equipe Bronze,Ưu đãi Đội Đồng,Предложение бронзовой команды,Penawaran Tim Perunggu,ข้อเสนอทีมบรอนซ์,Offre Équipe Bronze,عرض الفريق البرونزي,ब्रॉन्ज़ टीम ऑफ़र,Bronz Takım Teklifi
Brown_Outline_Shadow,Material,,HVD Fonts  MikadoBlack SDF Brown Outline Shadow,KO_JALNANGOTHICTTF SDF Brown Outline Shadow,JP_FUTEHODO-MARUGOTHIC SDF Brown Outline Shadow,HVD Fonts  MikadoBlack SDF Brown Outline Shadow,HVD Fonts  MikadoBlack SDF Brown Outline Shadow,HVD Fonts  MikadoBlack SDF Brown Outline Shadow,HVD Fonts  MikadoBlack SDF Brown Outline Shadow,movavi-grotesque Brown Outline Shadow,HVD Fonts  MikadoBlack SDF Brown Outline Shadow,NOTOSANSTHAI-EXTRABOLD SDF Brown Outline Shadow,HVD Fonts  MikadoBlack SDF Brown Outline Shadow,AligarhArabicFREEPERSONALUSE-Black SDF Brown Outline Shadow,BakbakOne-Regular SDF Brown Outline Shadow,NOTOSANSTHAI-EXTRABOLD SDF Brown Outline Shadow
Buy,Text,,Buy,구매,購入,Kaufen,Comprar,Comprar,Mua,Купить,Beli,ซื้อ,Acheter,شراء,खरीदें,Satın al
Buy All,Text,,Buy All,모두 구매,すべて購入,Alles kaufen,Comprar todo,Comprar tudo,Mua tất cả,Купить всё,Beli semua,ซื้อทั้งหมด,Tout acheter,اشترِ الكل,सभी खरीदें,Hepsini satın al
Buy Kitchen Mission Pack first time to unlock this!,Text,,Buy Kitchen Mission Pack first time to unlock this {[value]}!,첫 구매 시 주방 미션 팩을 구입하여 이 {[value]}을(를) 잠금 해제하세요!,初回にキッチンミッションパックを購入して、この{[value]}をアンロック！,"Kaufe das Küchen-Missionspaket zum ersten Mal, um dieses {[value]} freizuschalten!",Compra el Paquete de Misión de Cocina por primera vez para desbloquear este {[value]}!,Compre o Pacote de Missão da Cozinha pela primeira vez para desbloquear este {[value]}!,Mua Gói Nhiệm Vụ Nhà Bếp lần đầu để mở khóa {[value]}!,"Купи Кухонный Набор Заданий впервые, чтобы разблокировать этот {[value]}!",Beli Paket Misi Dapur untuk pertama kalinya untuk membuka {[value]}!,ซื้อแพ็กภารกิจห้องครัวครั้งแรกเพื่อปลดล็อก {[value]}!,Achetez le Pack Mission Cuisine pour la première fois afin de débloquer ce {[value]} !,اشترِ حزمة مهام المطبخ لأول مرة لفتح هذا {[value]}!,पहली बार किचन मिशन पैक खरीदें और इस {[value]} को अनलॉक करें!,Mutfak Görev Paketi’ni ilk kez satın alarak bu {[value]} kilidini aç!
Camping Trip,Text,,Camping Trip,캠핑 여행,キャンプ旅行,Campingausflug,Viaje de campamento,Viagem de acampamento,Chuyến cắm trại,Поход,Perjalanan Berkemah,ทริปแคมป์ปิ้ง,Sortie camping,رحلة تخييم,कैंपिंग ट्रिप,Kamp Gezisi
Capacity,Text,,Capacity,용량,容量,Kapazität,Capacidad,Capacidade,Sức chứa,Вместимость,Kapasitas,ความจุ,Capacité,سعة,क्षमता,Kapasite
Card Received,Text,,Card Received!,카드를 받았습니다!,カードを受け取りました！,Karte erhalten!,¡Tarjeta recibida!,Carta recebida!,Đã nhận thẻ!,Карта получена!,Kartu diterima!,ได้รับการ์ดแล้ว!,Carte reçue !,تم استلام البطاقة!,कार्ड प्राप्त हुआ!,Kart Alındı!
Card Star,Text,,Card Star,카드 스타,カードスター,Kartenstern,Estrella de carta,Estrela de carta,Ngôi sao thẻ,Звезда карты,Bintang kartu,ดาวการ์ด,Étoile de carte,نجمة البطاقة,कार्ड स्टार,Kart Yıldızı
Card Style,Text,,Card Style,카드 스타일,カードスタイル,Kartenstil,Estilo de tarjeta,Estilo de Cartão,Phong cách Thẻ,Стиль карты,Gaya Kartu,สไตล์การ์ด,Style de carte,نمط البطاقة,कार्ड शैली,Kart Stili
Card sent!,Text,,Card sent!,카드를 보냈습니다!,カードを送りました！,Karte gesendet!,¡Tarjeta enviada!,Carta enviada!,Đã gửi thẻ!,Карта отправлена!,Kartu terkirim!,ส่งการ์ดแล้ว!,Carte envoyée !,تم إرسال البطاقة!,कार्ड भेजा गया!,Kart gönderildi!
Chapter value,Text,,Chapter {[value]},챕터 {[value]},チャプター{[value]},Kapitel {[value]},Capítulo {[value]},Capítulo {[value]},Chương {[value]},Глава {[value]},Bab {[value]},บทที่ {[value]},Chapitre {[value]},الفصل {[value]},अध्याय {[value]},Bölüm {[value]}
Cheese,Text,,Cheese,치즈,チーズ,Käse,Queso,Queijo,Phô mai,Сыр,Keju,ชีส,Fromage,جبن,पनीर,Peynir
Chicken,Text,,Chicken,치킨,チキン,Huhn,Pollo,Frango,Gà,Курица,Ayam,ไก่,Poulet,دجاج,चिकन,Tavuk
Chicken Salad,Text,,Chicken Salad,치킨 샐러드,チキンサラダ,Hähnchensalat,Ensalada de pollo,Salada de frango,Salad gà,Куриный салат,Salad ayam,สลัดไก่,Salade de poulet,سلطة دجاج,चिकन सलाद,Tavuk Salatası
Choose,Text,,Choose,선택,選択,Wählen,Elegir,Escolher,Chọn,Выбрать,Pilih,เลือก,Choisir,اختر,चुनें,Seç
Choose Logo,Text,,Choose Logo,로고 선택,ロゴを選択,Logo auswählen,Seleccionar logotipo,Selecionar logotipo,Chọn logo,Выбрать логотип,Pilih logo,เลือกโลโก้,Choisir le logo,اختر الشعار,लोगो चुनें,Logo Seç
Claim,Text,,Claim,받기,受け取る,Beanspruchen,Reclamar,Reivindicar,Nhận,Получить,Klaim,รับ,Réclamer,استلام,क्लेम करें,Talep et
Claim each offer to unlock free reward!,Text,,Claim each offer to unlock free reward!,각 제안을 수락하여 무료 보상을 잠금 해제하세요!,各オファーを受け取って無料報酬をアンロック！,"Fordere jedes Angebot an, um eine kostenlose Belohnung freizuschalten!",¡Reclama cada oferta para desbloquear una recompensa gratis!,Resgate cada oferta para desbloquear a recompensa grátis!,Nhận từng ưu đãi để mở khóa phần thưởng miễn phí!,"Получайте каждое предложение, чтобы разблокировать бесплатную награду!",Klaim setiap penawaran untuk membuka hadiah gratis!,รับข้อเสนอแต่ละรายการเพื่อปลดล็อกรางวัลฟรี!,Réclame chaque offre pour débloquer une récompense gratuite !,اطلب كل عرض لفتح المكافأة المجانية!,हर ऑफ़र क्लेम करें और फ्री रिवॉर्ड अनलॉक करें!,Ücretsiz ödülü açmak için her teklifi talep et!
Claim in:,Text,,Claim in: {[TIME]},수령까지: {[TIME]},受け取りまで: {[TIME]},Erhalte in: {[TIME]},Reclamar en: {[TIME]},Resgatar em: {[TIME]},Nhận sau: {[TIME]},Получить через: {[TIME]},Klaim dalam: {[TIME]},รับใน: {[TIME]},Réclamer dans : {[TIME]},استلام خلال: {[TIME]},दावा करें इसमें: {[TIME]},Talep et: {[TIME]} sonra
Claimed,Text,,Claimed,수령됨,受け取り済み,Eingelöst,Reclamado,Resgatado,Đã nhận,Получено,Diambil,รับแล้ว,Réclamé,تم الاستلام,प्राप्त,Talep edildi
Claimed!,Text,,Claimed!,획득 완료!,受け取り済み！,Eingelöst!,¡Reclamado!,Resgatado!,Đã nhận!,Получено!,Sudah diklaim!,รับแล้ว!,Réclamé !,تم الاستلام!,क्लेम हो गया!,Talep edildi!
Clam Chowder,Text,,Clam Chowder,클램 차우더,クラムチャウダー,Muschelsuppe,Sopa de almejas,Ensopado de mariscos,Súp nghêu,Суп из моллюсков,Sup kerang,ซุปหอยลาย,Soupe de palourdes,حساء البطلينوس,क्लैम चाउडर,Midye Çorbası
Clear 2 3 of the total items to make OctoChef leave.,Text,,Clear 2/3 of the total items to make OctoChef leave.,전체 아이템의 3분의 2를 제거하여 옥토셰프를 떠나게 하세요.,全アイテムの3分の2を消して、オクトシェフを追い出そう。,"Räume 2/3 aller Items ab, damit OctoChef verschwindet.",Limpia 2/3 del total de objetos para que OctoChef se vaya.,Limpe 2/3 do total de itens para fazer o OctoChef ir embora.,Xóa 2/3 tổng số vật phẩm để khiến OctoChef rời đi.,"Убери 2/3 всех предметов, чтобы ОктоШеф ушёл.",Bersihkan 2/3 dari total item agar OctoChef pergi.,เคลียร์ไอเท็มทั้งหมด 2/3 เพื่อทำให้ OctoChef ออกไป,Élimine 2/3 du total des objets pour faire partir OctoChef.,,कुल वस्तुओं का 2/3 साफ़ करें ताकि ऑक्टोशेफ़ चला जाए।,OctoChef’in gitmesi için toplam eşyaların 2/3’ünü temizle.
Click to watch an Ad and unlock the empty tray!,Text,,Click to watch an Ad and unlock the empty tray!,광고를 시청하고 빈 쟁반을 잠금 해제하세요!,広告を見て空のトレイをアンロック！,"Klicken, um eine Werbung anzusehen und das leere Fach freizuschalten!",Haz clic para ver un anuncio y desbloquear la bandeja vacía!,Clique para assistir a um anúncio e desbloquear a bandeja vazia!,Nhấn để xem quảng cáo và mở khay trống!,"Нажмите, чтобы посмотреть рекламу и разблокировать пустой лоток!",Ketuk untuk menonton iklan dan membuka nampan kosong!,แตะเพื่อดูโฆษณาและปลดล็อกถาดว่าง!,Clique pour regarder une pub et déverrouiller le plateau vide !,اضغط لمشاهدة إعلان وفتح الصينية الفارغة!,विज्ञापन देखने के लिए टैप करें और खाली ट्रे अनलॉक करें!,Reklam izlemek için tıkla ve boş tepsiyi aç!
Closed,Text,,Closed,비공개,非公開,Geschlossen,Cerrado,Fechado,Đóng,Закрытая,Tertutup,ปิด,Fermé,مغلق,बंद,Kapalı
Co-leader,Text,,Co-leader,공동 리더,サブリーダー,Co-Leiter,Colíder,Co-líder,Phó nhóm,Со-лидер,Wakil pemimpin,รองหัวหน้า,Co-leader,زعيم مشارك,सह-नेता,Yardımcı Lider
Coastal Restaurant,Text,,Coastal Restaurant,해안가 레스토랑,海辺のレストラン,Küstenrestaurant,Restaurante costero,Restaurante à beira-mar,Nhà hàng ven biển,Прибрежный ресторан,Restoran Pesisir,ร้านอาหารริมทะเล,Restaurant côtier,مطعم ساحلي,समुद्री तट का रेस्टोरेंट,Sahil Restoranı
Coconut Drink,Text,,Coconut Drink,코코넛 음료,ココナッツドリンク,Kokosgetränk,Bebida de coco,Bebida de coco,Nước dừa,Кокосовый напиток,Minuman kelapa,น้ำมะพร้าว,Boisson de coco,شراب جوز الهند,नारियल पानी,Hindistan Cevizi İçeceği
Coconut Mix,Text,,Coconut Mix,코코넛 믹스,ココナッツミックス,Kokosmix,Mezcla de coco,Mistura de coco,Hỗn hợp dừa,Кокосовая смесь,Campuran kelapa,มิกซ์มะพร้าว,Mélange coco,خليط جوز الهند,नारियल मिश्रण,Hindistan Cevizi Karışımı
